"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"390";"follow tom . টমের পিছু নিন।";"decoded sentence : that's my brother .";"6.567275"
"391";"follow tom . টমের পিছু নাও।";"";"0.566592"
"392";"forget tom . টমকে ভুলে যাও।";"-";"0.566592"
"393";"forget tom . টমকে ভুলে যান।";"input sentence : আমিও।";"4.844232"
"394";"forget him . ওকে ছাড়ুন।";"decoded sentence : i'm not proud of this .";"4.767707"
"395";"forget him . ওনাকে ছাড়ুন।";"";"1.540156"
"396";"forget him . ওকে ছাড়ো।";"-";"1.540156"
"397";"forget him . ওনাকে ছাড়ো।";"input sentence : একদম ঠিক!";"5.341088"
"398";"forget him . তাকে ছাড়ো।";"decoded sentence : they don't care .";"6.567275"
"399";"forget him . তাকে ছাড়ুন।";"";"1.540156"
"400";"god exists . ভগবান আছে।";"";"1.540156"
"401";"good night . শুভ রাত্রি।";"( tensor ) c : \users\hp\downloads\";"4.058349"
