"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"197";"there is a practice to publish good answer papers in west bengal .";"বসন্তের চড়াই উতরাই আছে। কিন্তু আমি এক কাপ ছিলো না।";"1.554279"
"198";"some proposals are presented to make the primary closing test better and enrich .";"যুদ্ধে দশ লক্ষ মানুষ কেউ কেউ দিকে না।";"1.304298"
"199";"1 . 50 percent of the number should be allocated for objective questions , so that the relative performance of students in different areas can be measured .";"ভারী পাতা জায়গায় অনুবাদ করা এক কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.522359"
"200";"technology can be used to do the job accurately .";"রাতটা প্রত্যেকদিন এই সমাধান অপেক্ষা করতে হবে।";"2.139090"
"201";"2 . it should be taken into consideration if it is realistic to evaluate the examination script of one area by teachers of different areas so that nepotism does not cause inflation in marks .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.211442"
"202";"3 . a scholarship examination can be arranged with top twenty thousand students of this exam .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.648848"
"203";"since the number of students are less the evaluation is likely to be more accurate .";"আকাশ হচ্ছে অন্যভাবে বলা মিত্রই পরের স্টপটি পৌছাতে আর কতক্ষন লাগবে ?";"1.213266"
"204";"if the results of this scholarship examination are consistent with the results of the closing test , then we are more confident about the accuracy of our current system .";"যদি যদি যদি যদি যদি যদি যদি তাহলে বেঁচে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"0.452822"
"205";"there is no alternative of competition in education to achieve excellence .";"জীবনে চড়াই উতরাই আছে।";"1.080894"
"206";"we need to encourage our children's education by making the scholarship exam more delightful .";"যাই ইয়র্কের আমাদের জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.324284"
"207";"education-administration";"বিদায়।";"84.089642"
"208";"private college audit!";"ধাঁধা স্বাধীনতাকে অনুপ্রাণিত করে।";"7.986789"
"209";"there is a work called ministry audit in the government's mpo-approved private educational institutions .";"কয়েক চড়াই উতরাই আছে। আমি অনুবাদ করতে দেবো না।";"1.223911"
"210";"in this process , the ministry of education usually provides an auditor to inspect the infrastructure , manpower , year-wise income-expenditure , recruitment and provide a report of the scheduled educational institutions .";"জীবনে চড়াই উতরাই আছে।";"0.005672"
"211";"such an audit may bring into light the invalid recruitment of a teacher who is teaching for 10 - 15 years , or even 20 years .";"কয়েক পাতা ইংরাজি অনুবাদ করতে না , আমরা এক কাপ কফি করার মতো সাহস ছিলো না।";"1.229722"
"212";"that is , in this 10 - 15 - 20 years , standing in front of thousands of students to help in their studies in return for the wage is illegal in a teacher's life!";"ওই বইটি ওই সমস্ত করা ছিল। বইটা কিনতে। দিন কিনতে।";"0.172219"
"213";"what's the reason ?";"দাম কত ?";"27.222303"
"214";"because , in the recruitment process , there were supposed to be at least three candidates , there were two ;";"এখনকার সময় মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.509943"
"215";"as a representative of the directorate of education board there supposed to be a professor in the viva board from a govt . college , but there were an assistant professor ;";"রাতটা থাকার একটা অসুবিধে হোলো যে ব্যাঙ্কের দিনে ছোড়া মধ্যে একজন। কাপ কফি করার মতো সাহস ছিলো না।";"0.493352"
"216";"as an expert of the subject there supposed to be an assistant professor , but there were a lecturer .";"ভারী কুয়াশার জন্য একটা অসুবিধে হোলো যে কথা বলার মতো সাহস থাকে না।";"0.901457"
"217";"is it possible in reality for a person to know all these conditions , or is it necessary for him to know these ?";"মেরিকে সমস্ত সামনে যে মেরি আরে জন ঘন্টা করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"0.741664"
"218";"so who is responsible for the illegality of the recruitment process ?";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.708106"
"219";"whoever the responsibility , it must be carried out by the teacher ,";"যুদ্ধে কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো উচিৎ করা হয়।";"1.528480"
"220";"who thought that teaching was a clean and fairly respectable profession .";"সঠিক আয়নার সামনে যে বৃষ্টি থামে , যায় ?";"1.708106"
"221";"after three days , head of the institution told the teachers and employees that phone calls from dhaka are being communicated .";"ভারী কুয়াশার জন্য একজনকেও হোলো "" এই তাহলে হয়তো এক কাপ কফি করার মতো সাহস ছিলো না।";"0.852107"
"222";"it's hard to tell the truth .";"ব্রিজের পাতা নেবে শেষ হয়ে গেছে।";"3.435318"
"223";"because most heads of the private schools in remote area ( mostly not all ) are thieves .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"0.682170"
"224";"these teachers and employees are not in any way to verify whether the inspector-auditor is really asking for excise , or whether the head of the organization is taking money from teachers or employees , or the amount of bribe being claimed is increased .";"শত্রুর এতই গরম যে মিত্রই তাহলে তাহলে আমরা হয়ত মেনে নেয় না যে বাড়িতে ভুল নয়।";"0.199616"
"225";"discussion has been done with the head of the organization about the deal .";"রাতটা কুয়াশার মানুষ তাদের প্রথম";"0.882876"
"226";"to show example in this context , one topic of the last october can be drawn .";"আজ পাতা ইংরাজি অনুবাদ করা যায় ?";"0.786927"
"227";"the improvement in the pay scale due to the completion of the eight-year term of the private college teachers' employment was closed for several years .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.423590"
"228";"as the process of starting the time scale was restarted , newspapers published news on the preparation of the procurement process .";"রাতটা থাকার সবচেয়ে জন্য একজনকেও দেখা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"1.680830"
"229";"the accelerated intervention of the honorable education minister is unbelievable but it is true that to change the time scale no excise was needed .";"সূর্য হোক , মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.573106"
"230";"because the convenor of the committee , dipak kumar nag , director general ( administration ) , mausi reports , 'no money is needed'";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"0.289494"
"231";"who is taking money , tell me .";"কে ? "" তোমার মা। """;"2.907934"
"232";"we're working dawn to dusk closing the door .";"আমরা সমস্যাটার জন্য একটি থাকব।";"2.399905"
"233";"time scale can be reached by 18 ( october ) ' .";"এরকম ক্ষমা লক্ষ মানুষ তাদের প্রাণ অপেক্ষা হয় নি।";"1.708106"
"234";"then it can not be said that the education ministry has taken a bribe .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে উচিৎ।";"1.223911"
"235";"however , many of the heads of the private colleges of the college have not sent the necessary documents of the teachers or employees in dhaka without taking bribe , or have called the teachers and staff from dhaka , 'bribe is needed , send money through sa transport' .";"রাতটা থাকার একটা অসুবিধে হোলো যে দেখলাম কাপ হয়ত কাপ কাপ কফি করতে আর তা করার মতো সাহস ছিলো না।";"0.213603"
"236";"though the things written till now are crystal clear knowledge from experience , it is not possible to present any documentary evidence .";"রাতটা কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো রয়েছে , জন্য একজন।";"1.143575"
"237";"because there exists widespread irregularities , corruption , arbitrary conduct , relativity and inefficiency and inefficiency in the establishment and management of non-governmental educational institutes of bangladesh , especially private colleges established in the nineteenth century and later .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"0.033963"
"238";"there can also be found examples of the fact that five or six of ma pass has opened a college one of whom is made acting principal covering four km or fewer area of rural area .";"বসন্তের পাতা মানুষ বাকি আর আসো। কাপ আসো। আর আসো। কাপ আসো। তখনও কফি দেখে আসুন।";"0.329111"
"239";"after this , the subject-based ma , msc , mcom pass people has been recruited as lecturer taking bribe , and students were made to admit by showing various temptations .";"ভারী কুয়াশার জন্য একজনকেও হোলো তাদের প্রাণ তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.501850"
"240";"after five to seven years of continuing this way , each college stood with two or three-four hundred students and 40 - 50 - 60 teachers-employees .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে নেয় না যে নি।";"0.485124"
"241";"so , from the time of birth , irregularities and corruption were attributed to these colleges .";"রাতটা শুনবেন , সেই জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"2.292084"
"242";"these irregularities-corruption become a great scope in the time of the ministerial audit for the dishonest instructor and the inspectors .";"শত্রুর জিনিসটা জিনিস খুব অত তাহলে আমরা হয়ত মেনে নেয় না যে খাব।";"0.834714"
"243";"and it is known to everyone that there is no evidence of such transactions .";"ভারী কুয়াশার জন্য একজনকেও অনুবাদ করতে যাও!";"1.047173"
"244";"in this condition ministry-audit is a poison to the teachers and employees of the private educational institutions .";"জীবনে চড়াই উতরাই আছে।";"0.241180"
"245";"as a result of the courage , determination and steps of the education minister , our education system seems to be changing .";"ভারী কুয়াশার জন্য অনুবাদ করতে তাহলে তাদের প্রাণ ছোড়া উচিৎ একজন।";"0.629460"
"246";"formation of a modern and potential national education policy is one of those steps .";"কয়েক কুয়াশার জন্য অনুবাদ করতে যাও!";"0.905540"
"247";"is it not possible to think about this ministry-audit ?";"মেরিকে খুব এই ব্যাপারে পূরণ করার মতো আছে ?";"4.266332"
"248";"the good news for the country is that our education secretary is a poet .";"সূর্য পূর্বদিকে উদয় হয় মেরি পশ্চিম দিকে অস্ত যায়।";"1.223911"
"249";"bribing is not only a financial loss , but a person's status as a person is also falling on the ground .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.281988"
"250";"it is necessary to look into this side .";"এটা পুরোপুরিই এই সাতটা পরে ভুত হয় ?";"2.436749"
"251";"take a quick step to change the books .";"অনুগ্রহ করে টাকাটা ব্যাঙ্কে জমা করে যাবেন।";"2.467579"
"252";"mistakes in textbooks";"এই ধরনের ভুলগুলো আছে।";"7.986789"
"253";"'textbook festival' for students to get new books started in the first day of the new year .";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি নিয়ে আসবেন।";"1.067037"
"254";"already the distribution work is almost done .";"এখনকার বর্ণানুক্রমে উতরাই দিলো ,";"2.931251"
"255";"it is considered as a big event to distribute about 23 million books free of cost to the students .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.826822"
"256";"but a lot of mistakes in the printed book begin to get caught , so success faces a bit of halt .";"এখনকার কুয়াশার জন্য অনুবাদ করা দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.801854"
"257";"according to the report of the prothom alo representative of cox's bazar and khulna , numerous mistakes have been found in the primary textbooks distributed in these two districts .";"রাতটা কুয়াশার গরম যে মিত্রই জন ওনাদেরকে তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.532256"
"258";"the mistakes are basically about printing and binding .";"সূর্য অনুযায়ী ১৯৪৫ সালে সমাপ্ত হয়েছিল।";"2.461513"
"259";"such mistakes are not unusual while printing so much books .";"রাতটা ঘরে লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"260";"it could have been easily avoided if steps were taken to make a little sort of selection before distributing .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.826822"
"261";"it is a great pleasure for the students to have new books .";"এরকম অন্তত তিনবার ঘটেছে।";"0.841801"
"262";"but after getting the book , if there is a mistake in printing and binding , it is also normal to be frustrated .";"কয়েক পাতা জায়গায় অনুবাদ করতে তাহলে তাদের প্রাণ ছোড়া উচিৎ একজন।";"0.574760"
"263";"these books are being sent back and changed from the educational institutions .";"শত্রুর শত্রু ইংরাজি আমাদের ইংরাজি তাহলে আমরা গর্বিত নই।";"1.528480"
"264";"but in what amount of books do such inconsistencies have determines whether it is possible to change it from excess reserves .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.689365"
"265";"an official of khulna , involved in the distribution of books , expressed the apprehension .";"শত্রুর শত্রু যে মিত্রই হবে তার কোনো মানে নেই।";"1.095204"
"266";"he said , many books are coming back due to the problems of printing and binding from the educational institutions .";"উনি যেহেতু যে মেরি পার্ক জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"0.880788"
"267";"it is being replaced because of some additional reserves , but if the number of returning books increases , then there will be problem .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.524814"
"268";"as a result , it is very important to get an idea about the number of defective books and take action accordingly .";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.803429"
"269";"we hope that everyone will come forward to redress this success of distributing books among the students at free and will take the necessary steps to change the defective books distributed as soon as possible .";"আমরা হাল ভাজ আমাদের আমাদের ব্যাপারে দিলাম। আমরা যাইই করি না কেন , আপনাকে দেখে কখনই সন্তুষ্ট বলে মনে হয় না।";"0.444525"
"270";"at the same time , we also want to emphasize the issue of taking such a problem into consideration .";"এখন একটা খেলার ভাজ দিলেন , জন্য কটায় ছাড়ে ?";"1.543664"
"271";"if that happens then it will be possible to completely make the book distribution program error free .";"যদি যদি যদি যদি তাহলে করি , তাহলে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.051379"
"272";"jsc test";"ধাঁধা ভেবে দেখুন।";"22.590050"
"273";"drop out , failing";"ধাঁধা স্বাধীনতাকে অনুপ্রাণিত করে।";"7.986789"
"274";"first i remember the girl who chose to commit suicide after failing in the exam and not being able to tolerate her parents rebuking .";"প্রথমে আমি একটা সব সবচেয়ে ছাড়িয়ে এসেছি। পরের স্টপটি পৌছাতে আর কতক্ষন লাগবে ?";"0.647191"
"275";"she has committed suicide hanging herself with the ceiling fan .";"উনি যেহেতু দয়া করে দু কাপ চা হবে।";"1.897742"
"276";"she has gone to the world of eternity turning all slander , humiliation , humiliation into love .";"প্রথমে থাকাটা কতটা যে কথা বসার জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.079115"
"277";"her name is tania ahmed .";"আবহাওয়া এখনকার মাতৃভাষা।";"8.310415"
"278";"se failed in mathematics in the jsc examination from the bangladesh sports educational institution ( bksp ) public school of savar .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.281988"
"279";"the girl was the only child of her parents .";"আপনাকে স্টপটা নটার সালে পাঁচ জন্মগ্রহণ করেছিলাম।";"2.139090"
"280";"for this reason , they could not accept the failure of the girl and rebuke her .";"ভারী কুয়াশার জন্য একজনকেও আর ব্যাঙ্কের কাপ কফি করার মতো সাহস ছিলো না।";"1.135446"
"281";"they can not be blamed .";"ওনারা নাচতে করেছেন না।";"4.844232"
"282";"because there is no training system to be the ideal parent or guardian in our country .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"0.786927"
"283";"now she is only memory to her parents and other members of her family .";"আপনি সমস্ত দেখলো যে মেরি পুরোদিন জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.222797"
"284";"she is memory to us too .";"উনি আমাদের পথপ্রদর্শক হিসাবে কাজ করলেন।";"3.435318"
"285";"we did not see her , this is the truth .";"আমারা সমস্যাটার ব্যাপারে এখনো নিশ্চিত হইনি।";"1.763751"
"286";"but we know of many young people , who do not bear any kind of attack on their personalities .";"এখনকার কুয়াশার জন্য অনুবাদ করা যান।";"0.393546"
"287";"and we are strange , we wait a year with great enthusiasm to hear or read a news like this .";"আমাদের খালি মায়ের জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.834714"
"288";"more lives are gone .";"ফুল অপরিহার্য শেষ।";"11.598118"
"289";"this year's death has been one , but millions of children are going to be living death .";"এই টেপ রেকর্ডারটা আমাদের ইংরাজি শেখা সহজ করে দেবে।";"0.876971"
"290";"let's take a look at the results of the last two years of primary education and the results of the junior school certificate examinations held for the first time in 2010 .";"শাটেল কুয়াশার করা করা দেখা করা মুখ করতে যাওয়া যাক।";"0.232471"
"291";"ehsan rafiq , student of dhaka university's salimullah muslim ( sm ) hall , can not look at the light .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে নেয় না যে নি।";"0.799834"
"292";"he is passing days lying in the dark room .";"উনি গত পরশু লন্ডনের উদ্দেশ্যে রওনা দিয়েছেন।";"2.139090"
"293";"he has pain all over the body .";"উনি টিভির আক্ষরিক অর্থ গেছিলেন।";"2.931251"
"294";"the family is preparing to take him to india for treatment .";"আবহবার্তা পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত গেছে।";"1.708106"
"295";"on the night of february 6 , ehsan was tortured by bcl leaders and workers .";"কয়েক পাতা জায়গায় অনুবাদ করতে তাহলে তাদের প্রাণ ছোড়া উচিৎ হয়নি।";"1.189425"
"296";"from two in the morning to two o'clock in the noon , ehsan was beaten three times .";"আকাশ দেখে মনে হচ্ছে আজ রাতে বরফ পরা শুরু হতে পারে।";"0.991687"
"297";"his forehead and nose burst out in blood .";"উনি যদি আজ যেতেন , বাড়িয়ে শিশুর জন্ম দিয়েছেন।";"2.383854"
"298";"he was detained in the room of president of bcl unit of the hall , tahsan ahmed .";"উনি যখন খেলার পাতাটা পড়ছিল তখন মেরি বসার দিকে অস্ত দিয়েছেন।";"0.991687"
"299";"after a few rounds of medical treatment in dhaka , the family has taken ehsan to the village home .";"রাতটা কুয়াশার জন্য একটা কাপ হোলো কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.924991"
"300";"we talked with ehsan on thursday evening .";"আমরা আমাদের হিসাবে আমাদের করে একত্রিত হই।";"2.846513"
"301";"he is lying in his room putting off the light .";"উনি বাক্যাংশটির ম্যানেজারই লন্ডনের উদ্দেশ্যে রওনা দিয়েছেন।";"1.854330"
"302";"when to speak , he says he lies putting of the light in the day too .";"তাঁর যখন ফিরবেন ? "" সবকিছুই আবহাওয়ার উপর নির্ভর করছে। """;"1.086065"
"303";"it is not possible for him to see through the light .";"সঠিক জিনিসটা করা সবসময় অত সহজ হয় না।";"1.674752"
"304";"he can not sit head high because of pain .";"উনি যা বললেন অন্য কিছু বলতে পারেন।";"2.139090"
"305";"ehsan's father rafiqul islam said to prothom alo , he is preparing to take him to india for quick treatment .";"ভারী পাতা জন্য অনুবাদ করতে পারো তাদের প্রাণ কফি করার মতো সাহস ছিলো না।";"0.861225"
"306";"he has requested for a passport on wednesday .";"সে তিনটি লাইটে একটা উল্কি আছে।";"2.461513"
"307";"he has to bear the expenses of treatment in dhaka , currently at home and for treatment in india too .";"বাইরে দশ তেরো পাতাটা আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.628377"
"308";"he expressed his anger because the university administration had no initiative in this regard .";"উনি জানেন দয়া করে আরও চুল জন";"1.047173"
"309";"university administration should have bear the expenses of the treatment of ehsan .";"ভারী কুয়াশার জন্য একজনকেও অনুবাদ যাচ্ছিলো";"1.263783"
"310";"these cannot be tolerated .";"এইগুলো জিনিসগুলো বড়ো।";"11.598118"
"311";"haven't got justice , treatment was not given!";"সাফল্য কুয়াশার জন্য একজনকেও ছাড়ে ?";"2.907934"
"312";"because the identity of the criminal is a bit different!";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"2.139090"
"313";"in 2010 , three lakh 65 thousand 70 students dropped out .";"জীবনে চড়াই উতরাই আছে।";"1.080894"
"314";"in 2009 this number was 3 lakh 59 thousand 841 .";"সাধারণ চড়াই উতরাই আছে।";"1.387896"
"315";"the number increased by more than six thousand .";"দ্বিতীয় স্থান ঘটনা বিকেলে বিকেলে কঠিন।";"2.461513"
"316";"in the year 2010 , two lakh 83 thousand 132 students were absent in the center in psc exam .";"জীবনে চড়াই উতরাই আছে।";"0.146283"
"317";"this result has two sides in happiness and sorrow .";"এই নদীটি সেই সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা জাপানী নয়।";"2.098057"
"318";"in 2010 , 11.52 thousand 536 students participated in the junior school certificate examination held in creative question method .";"জীবনে চড়াই উতরাই আছে।";"0.146283"
"319";"of these , 81 thousand 720 were absent .";"এটাকে দশ লক্ষ বছরের কেঁদেছে।";"2.399905"
"320";"367 schools in junior level and 2787 schools in primary level had zero pass rate .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.766523"
"321";"in anand schools run under the reaching out school of children program , in 2010 , 1,434,66 students of 6,661 ananda school registered .";"জীবনে চড়াই উতরাই আছে। তাদের আছে।";"0.202053"
"322";"of these , 66 thousand 817 were absent .";"এটাকে দশ লক্ষ বছরের কেঁদেছে।";"2.399905"
"323";"no two students of 2,221 schools have passed .";"আকাশ দশ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.461513"
"324";"false examinees have been found in privately operated schools and the results of these schools are severely bad .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার একদমই মেনে নেয় না যে নি।";"0.944893"
"325";"already the permission to run schools of about 400 non-government organizations in 60 upazilas has been canceled on the charge of fraud .";"ভারী কুয়াশার জন্য অনুবাদ করা এক কাপ চা কাপ এক কাপ কফি করার মতো সাহস ছিলো না।";"0.803429"
"326";"in addition to strengthening the supervision of the ministry in the schools , several organizations have been closed .";"জীবনে চড়াই উতরাই আছে।";"0.187831"
"327";"but it can not be a permanent solution .";"এখনকার শত্রু লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.467579"
"328";"arrangement for the education of the children of deprived and poor families has been done without any long-term plan .";"ভারী কুয়াশার জন্য একটা অসুবিধে হোলো যে কথা বলার মতো সাহস থাকে না।";"0.901457"
"329";"to manage the education of a special system , all of them , who were involved in implementing the project , were required to introduce a lot of responsibilities , including the project officers , teachers , primary education directorate and the person from the primary and mass education ministry .";"মেরিকে বইটি সেই সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা আমার বাবা-মা ছাড়ে ?";"0.065654"
"330";"needless to say , education is not a wild tree that it will grow as it wishes .";"রাতটা পাতা মানুষ তাদের থামে , তাহলে আর এক কাপ কফি নিয়ে আসবেন।";"2.102758"
"331";"to achieve the desired goal of education by a human child , educational institutions need nice environment , up to date textbok , teaching method , trained teacher , the ability to understand the child .";"এই বইটি সেই সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা কিনতে।";"0.118685"
"332";"at the time of evaluation , the child can be valued on learning .";"ট্রেনটা সময় এয়ারপোর্টের এসেছিলো , এসেছি। পরের স্টপটি পৌছাতে আর কতক্ষন লাগবে ?";"2.860345"
"333";"only then we can expect good results from him .";"ভারী কুয়াশার জন্য একজনকেও দেখা করতে হবে।";"2.139090"
"334";"but sadly , even if there is no shortage , many teachers or administrators do not do these things with utmost sincerity in implementing the education program .";"ভ্যালেন্টাইন পাতা ইংরাজি অনুবাদ করতে পারো তাদের প্রাণ কফি করার মতো সাহস ছিলো না।";"0.522359"
"335";"the picture of the results in the two sectors indicates that .";"সূর্য স্থান এবং তাই পশ্চিম দিকে অস্ত যায়।";"1.674752"
"336";"the school environment must be friendly .";"দর্শকদের বিশ্বযুদ্ধ ১৯৪৫ সালে সমাপ্ত হয়েছিল।";"3.435318"
"337";"most of our country's educational institutions do not have playgrounds , there is no free environment .";"বেশিরভাগ জাপানীরাই প্রত্যেকদিন কেউ ইংরাজি শেখা দেবে দেবে।";"0.896430"
"338";"day by day space will lessen .";"যুদ্ধে কুয়াশার মানুষ তাদের প্রাণ হারিয়েছিলেন।";"3.435318"
"339";"children will not get a chance to play without a specified place and time .";"বাচ্চারা কুয়াশার মানুষ তোমাকে অন্তত বলার সঙ্গে তাতে না।";"1.223911"
"340";"they won't get a chance to learn in the free environment .";"উনি প্রথম পরশু নন প্রথম";"1.317096"
"341";"this fact has to be accepted by everyone .";"এই দুটো প্রশান্ত মহাসাগরে দরকার হবে।";"2.461513"
"342";"therefore , it will be wise to focus on how to better this narrow environment into education friendly , pleasant place .";"ভারী কুয়াশার জন্য অনুবাদ করতে যান। "" না , ধন্যবাদ।";"1.263846"
"343";"it is needed to decide how to better utilize this narrow environment to make the students reach their desired goal .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.754971"
"344";"to improve the relationship between students and guardians , the activities covered by the educational institutions should be implemented more effectively .";"আজ সকালে একটা সমস্ত জন্য নিশ্চিত করা এসেছি। পরের স্টপটি থেকে আর কতক্ষন লাগবে ?";"0.823983"
"345";"in addition to organizing guardians assembly in the institutions , there need to be arrangements for the child-guardian , where they will jointly solve any problem .";"জীবনে চড়াই উতরাই আছে। তাদের আছে।";"0.122552"
"346";"apart from this , the media of the country will also have to organize various activities related to family education , social education , education of children in different trends and awareness building activities .";"রাতটা কুয়াশার হলে আমাদের প্রথম ঘন্টা করতে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.372932"
"347";"along with parents the school teachers and managing committee have to increase their work .";"ভারী কুয়াশার জন্য অনুবাদ করতে যান।";"0.905540"
"348";"however , the activities must be educational-centric .";"সাফল্য ঢোকার জন্য হাওয়ার কাপ দৌড়াবো।";"2.907934"
"349";"there is no alternative to educational materials for students to learn .";"জীবনে প্রত্যক্ষ ১৯৪৫ হতে দেবেন না।";"1.492983"
"350";"child's education lasts more if eye-catching educational equipments are used before or in time of teaching them .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"0.549238"
"351";"it has been said since long to use hand made materials in the class since long .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.086065"
"352";"but how many teachers of our country do that work ?";"রাতটা কুয়াশার মানুষ তাদের প্রথম";"1.608705"
"353";"it is not possible to stop dropout in the educational institutions without ensuring the student's regular attendance .";"কয়েক জিনিসটা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.991687"
"354";"they can understand the importance of sitting for exam only when they are regularly present in the school .";"প্রথমে তাঁরা খেলার এসেছিলো , যে মেরি বসার জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.015814"
"355";"naturally , a student who does not attend classes creates a tendency to feel institutional education inappropriate .";"রাতটা কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো না।";"0.682170"
"356";"as well as in the examination , he faces a kind of exam fear in his mind .";"রাতটা কুয়াশার লক্ষ জন্য নিজের প্রথম";"0.549238"
"357";"because he did not prepare himself for testing all year .";"উনি গত ব্যাপারে অন্য একবার যাচ্ছিলো না।";"1.854330"
"358";"so , without further delay it is necessary to make the steps in reality in the light of importance of child education .";"ভারী কুয়াশার মানুষ তাদের থামে , এক কাপ কফি শিশুর জন্ম করার মতো সাহস ছিলো না।";"1.578994"
"359";"it is must to reduce drop outs , and increase pass rates .";"কয়েক জিনিসটা শেষ হতে গেলে অত আমার শীততাপ নিয়ন্ত্রিত বাড়িতে থাকতে পারে।";"1.557865"
"360";"jsc exam results";"ধাঁধা স্বাধীনতাকে অনুপ্রাণিত করে।";"7.986789"
"361";"the results of the eighth grade junior school certificate exam held for the first time under the eight education boards of the country were not encouraging .";"সূর্য পূর্বদিকে উদয় হয় তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"0.383281"
"362";"the average pass rate of the country is 71.34 percent ;";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.908841"
"363";"the number of such candidates who received the highest grade , gpa-5 , is also very small .";"সভাটার পূর্বদিকে উদয় হয় গেছে। পরের তাই এক দুটোই স্থির হয়নি।";"0.991687"
"364";"most of the candidates got grade in between gpa-2 and gpa-3 .";"বেশিরভাগ জাপানীরাই প্রত্যেকদিন কেউ বরফ ভাবে।";"1.492983"
"365";"the picture is a lot worse compared to the results of the primary education concluding examination .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"0.980031"
